German,English
anpflanzen,plant
cyper,cyber
gurney,Gurney
mütterlich,maternal
staubigen,dusty
bedürftige,needy
hirnstamm,brainstem
weltalls,universe
margery,margery
gespickt,studded
bemuttern,mother
bestechlich,bribable
cherbourg,Cherbourg
fortgelaufen,ran away
landgut,estate
umkehrung,reversal
überflogen,skimmed
latina,Latina
bongo,bongo
verantwortungen,responsibilities
arbeitsbedingungen,working conditions
einzutreiben,to collect
beeinflusste,influenced
jimenez,Jimenez
lean,lean
zellengenosse,cellmate
alak,alak
hogarth,Hogarth
oer,oer
aufwühlende,disturbing
vivaldi,Vivaldi
cobblepot,cobblepot
heiligste,holiest
freibier,free beer
betrinke,get drunk
unglücks,misfortune
fischfutter,fish food
kollektive,collective
einprägen,memorize
gruppensex,group sex
hausieren,peddling
saubergemacht,cleaned
fluchtgefahr,risk of flight
gens,gens
huf,hoof
büchsen,cans
martel,martel
judäa,Judaea
bübchen,boy
sternenstaub,stardust
krabat,Krabat
schummler,cheater
vargo,vargo
keri,keri
führend,leading
fahrschule,driving school
formte,formed
independence,independence
winona,Winona
hilfskraft,assistant
garbo,garbo
danner,thener
ausgeschnitten,cut out
wampe,belly
stew,stew
ausgeteilt,distributed
matador,matador
geteilte,shared
sed,sed
zaina,Zaina
bower,bower
klemmte,jammed
schlafentzug,sleep deprivation
tröstete,comforted
subjekte,subjects
baff,baff
omphale,omphale
richtigem,correct
fahrzeugschein,vehicle registration document
misslungen,failed
bürgschaft,guarantee
ant,ant
flügen,flights
watchtower,watchtower
glasauge,glass eye
ortszeit,local time
erotischer,erotic
ergreif,seize
ausblenden,hide
lucian,Lucian
aktenschrank,filing cabinet
anhörungen,hearings
wandelndes,walking
communicator,communicator
neary,neary
viertels,quarter
cath,Cath
atreju,atreju
kribbelig,tingly
matti,matti
marcels,Marcel's
beckmann,beckmann
rosengarten,rose garden
vogelhaus,birdhouse
beeman,beeman
landau,Landau
globalisierung,globalization
zander,zander
hanf,hemp
kajak,kayak
privatparty,private party
verhätschelt,pampered
sommerschule,summer school
reibung,friction
machtkampf,power struggle
pakistanischen,Pakistani
lustvoll,pleasurable
kleinerer,smaller
großherzig,generous
vergrub,buried
strähne,strand
allerliebst,Absolutely adorable
umsätze,sales
puderzucker,powdered sugar
scheuklappen,blinkers
schädeldecke,skullcap
jinsung,Jinsung
würzig,spicy
heimgebracht,brought home
käm,came
cardassianisches,Cardassian
xing,xing
holographischen,holographic
berufungsgericht,appeals court
körperteilen,body parts
variieren,vary
konditorschule,pastry school
aubergine,aubergine
kursieren,circulate
ruhmreiche,glorious
energiequellen,energy sources
midori,midori
shhh,shhh
ausfallend,abusive
daren,dares
til,til
belastungsstörung,stress disorder
shiori,shiori
vorherzusagen,to predict
severus,Severus
aarons,aarons
gezwitschert,tweeted
florès,florès
denunzieren,denounce
schwärmerei,infatuation
pflückt,picks
concorde,Concorde
südkorea,South Korea
auseinandergerissen,torn apart
audra,audra
bedecke,cover
einsacken,bag
bless,bless
bögen,bows
stinkefinger,middle finger
berthier,Berthier
anriefst,you called
erzeuger,producer
linor,linor
überdeckt,covered
unzivilisiert,uncivilized
lota,lota
shibuya,Shibuya
erstrahlt,shines
gita,gita
sonora,sonora
vorzeitigen,premature
bioroiden,bioroids
seltenheit,rarity
unbequeme,uncomfortable
bluthunde,bloodhounds
bolivar,Bolivar
niederschlag,precipitation
fanfan,fanfan
murrow,Murrow
knapper,narrower
leyasu,leyasu
schwejk,Schwejk
gros,large
mensa,cafeteria
vorbeischicken,send by
vollmachten,powers of attorney
versengt,scorched
zurückfällt,falls back
lindholm,Lindholm
herzinfarkte,heart attacks
cardassianischer,Cardassian
chaotische,chaotic
carlas,carlas
soundtrack,soundtrack
geröntgt,x-rayed
notdienst,emergency service
scanlon,scanlon
viehzüchter,rancher
ansteigen,increase
plummer,plummer
bänke,benches
intendant,intendant
lauffeuer,wildfire
abzuschlagen,to strike
leguan,iguana
jost,jost
lesh,lesh
netzhaut,retina
entweicht,escapes
verhätscheln,pamper
railroad,railroad
intervenieren,intervene
steigenden,rising
rhetorisch,rhetorical
nomura,nomura
hundemüde,dog tired
saba,saba
hintergehst,you betray
offensichtlicher,obvious
martigues,martigues
siezen,formal address
tobacco,tobacco
sopran,soprano
bersten,burst
befreundeten,friendly
neuengland,New England
kamil,Kamil
wiedersiehst,see again
nachschenken,refill
umgehungsstraße,bypass
ankotzt,disgusts
aktaion,action
kolima,kolima
gutherzig,kindhearted
unbefugt,unauthorized
überrasch,surprising
kaliforniens,California's
geborenen,born
bezirken,districts
sonderling,eccentric
verweigerst,refuse
landesweiten,nationwide
gorgoniten,gorgonites
klapperschlangen,rattlesnakes
chelle,chelle
langstreckensensoren,long-range sensors
waldrand,edge of the forest
eigenwillig,eccentric
kirchenchor,church choir
herumtragen,carry around
research,research
irakische,Iraqi
rockige,rock
sandkorn,grain of sand
beatmung,ventilation
ungezogene,naughty
geschähe,would happen
sammele,collect
zapatti,zapatti
shara,shara
neils,Neils
santini,santini
theory,theory
aussortiert,sorted out
ministeriums,ministry
arschgeigen,assholes
verschränken,interlock
wiederbringen,recover
fußballmannschaft,football team
collé,collé
gowan,gowan
masten,masts
voraussicht,forecast
rough,rough
sonstwas,else
tagchen,Hi
gekaut,chewed
aufgefasst,perceived
bemessen,measure
gültigen,valid
streikbrecher,strikebreaker
verscharrt,buried
krebsgeschwür,cancerous tumor
leitstelle,control center
carcetti,carcetti
cuervo,cuervo
gleiter,glider
kartentricks,card tricks
mmmm,mmmm
pakistanische,Pakistani
vallejo,Vallejo
famiiie,famiiie
kotzte,vomited
wohltätigkeitsorganisation,charity
sweater,sweater
theron,theron
zuschreiben,attribute
allo,hello
stepptanz,tap dance
cocchi,cocchi
zersetzung,decomposition
menni,menni
miststücke,bastards
strasser,Strasser
masseria,masseria
hinkam,came
magenverstimmung,upset stomach
baltars,baltars
sanduhr,hourglass
legitimen,legitimate
guang,guang
buisson,business
zyankali,cyanide
übersinnlich,psychic
einser,number one
unkontrolliert,uncontrolled
verfeinert,refined
hooters,Hooters
privatklinik,private clinic
kirsch,cherry
verantwortungsvolle,responsible
bammel,jitters
lemalian,lemalian
valle,valley
annalen,annals
counselor,counselor
hausierer,peddler
einfachem,simple
pennies,pennies
entlohnt,paid
verfeinern,refine
nachzustellen,to recreate
hotte,hotte
hoheitsgebiet,sovereign territory
nasenlöcher,nostrils
pullman,Pullman
rhythmisch,rhythmical
lokalisiere,locate
hedwig,Hedwig
allyson,allyson
knietief,knee-deep
zitierst,quote
austauschbar,interchangeable
segelst,sail
amo,amo
lillebror,lillebror
akuten,acute
lehrstuhl,chair
downs,downs
zurückgibt,returns
bergsteigen,mountaineering
sonett,sonnet
xiangyang,Xiangyang
blitzschlag,lightning strike
kassim,Kassim
faselt,rambles
hochspannung,high voltage
verrücktheiten,Madnesses
agustina,Augustina
saïd,saïd
wacklig,shaky
weltliche,secular
reservisten,reservists
schlummertrunk,nightcap
vertreterin,representative
traditioneller,traditional
auber,auber
sp,sp
ausharren,persevere
maximalen,maximum
verlockung,enticement
meal,meal
aufeinandertreffen,meet
tigern,tigers
unterdrücktes,suppressed
dienstleistung,service
golde,gold
bedauernswerte,regrettable
campo,campo
strangulation,strangulation
rotten,rotten
menschenmengen,crowds
endzone,endzone
riches,riches
rallye,rally
ankleiden,dress
fälschlich,erroneously
serbische,Serbian
pu,pu
kohinoor,kohinoor
widerspenstig,rebellious
überlasten,overload
dämonenjägerin,demon hunter
fehlschlägt,fails
geisterbahn,haunted house
zweiundzwanzig,twenty-two
fuchsbau,fox den
traubensaft,grape juice
süßstoff,sweetener
voranzukommen,to make progress
flashen,flashing
twa,twa
katastrophalen,catastrophic
gegenseitiges,mutual
haushaltshilfe,household help
grüssen,greet
nordöstlich,northeast
äxte,axes
strümpfen,stockings
onda,onda
lebkuchen,gingerbread
hel,hel
glorreich,glorious
jimena,Jimena
igen,igen
heizer,heater
ketamin,ketamine
zusammenarbeite,collaborate
gusteau,gusteau
schuyler,Schuyler
anabelle,Annabelle
hanley,Hanley
proleten,proletarians
reinkriegen,get it in
anno,anno
unschlüssig,undecided
commodus,commodus
boarding,boarding
montieren,assemble
schlappe,limp
ansichtssache,It's a matter of opinion.
mccoys,McCoy's
pfuschen,botch
heimzukommen,to come home
furchtlosen,fearless
nachspionieren,spying
doofer,stupid
bläschen,bubbles
cowboyhut,cowboy hat
abzuwaschen,to wash
gladstone,gladstone
tüchtigen,capable
sopranos,sopranos
vasser,water
commissario,commissario
terrors,terror
zoes,zoes
happo,happo
spielende,playing
lulù,lulù
flints,flints
lamas,llamas
verträumt,dreamy
bewährungshelferin,probation officer
umgesiedelt,relocated
hôtel,hotel
heit,day
unbewaffnete,unarmed
terpentin,turpentine
uzi,Uzi
macchiato,macchiato
aufkommt,arises
couture,couture
hydranten,hydrants
zugedreht,turned off
hilfloses,helpless
stadträte,city ​​councilors
gequälte,tormented
beweismitteln,evidence
anhöre,listen
wellness,wellness
wohnungstür,apartment door
beherrschten,mastered
sprint,sprint
haftbar,liable
varieté,vaudeville
überwachten,monitored
rüberkommt,comes across
vergewaltigten,raped
unerträglichen,unbearable
negern,negers
umworben,courted
abnormal,abnormal
belastendes,stressful
lizenzen,licenses
frivol,frivolous
herumgetrieben,wandering around
unehelichen,illegitimate
vermachen,bequeath
incorporated,incorporated
oy,oy
abzuschrecken,to deter
mendax,mendax
ergebene,devoted
sanborn,Sanborn
sättigung,saturation
hochzujagen,to blow up
satomi,satomi
liebreizende,lovely
kohlkopf,cabbage
sturzbesoffen,dead drunk
kala,kala
biegler,biegler
geblockt,blocked
showdown,showdown
ausflippt,freaked out
fruchtsaft,fruit juice
tura,tura
bundesrichter,federal judge
hinkomme,how to get there
begriffsstutzig,slow to understand
bewohnen,occupancy
paares,pair
sturzbetrunken,dead drunk
bodenständig,down-to-earth
herausgezogen,pulled out
geologe,geologist
hirnlose,brainless
reinhardt,Reinhardt
weltbank,World Bank
mirror,mirror
schnüffle,sniff
unterführung,underpass
dienstfrei,off duty
unterton,undertone
lehrbücher,textbooks
schnapsidee,crazy idea
prosper,prosper
rainey,rainey
feuerprobe,trial by fire
administration,administration
grössere,larger
auslagen,expenses
überliefert,handed down
firmenwagen,company car
nachmittage,afternoons
zakalwe,zakalwe
abschneide,cut off
phibes,phibes
trilogie,trilogy
jihad,jihad
mascara,mascara
pants,pants
traumatischen,traumatic
thorson,Thorson
bresche,breach
spe,spe
waagerecht,horizontal
grayer,grayer
abnahm,weight loss
tanners,tanners
loving,loving
türschloss,door lock
tutti,tutti
lins,left
chadwick,Chadwick
junk,junk
ehrlichste,most honest
tala,tala
aufenthaltsgenehmigung,residence permit
förderer,sponsors
signaturen,signatures
zapata,zapata
badest,badest
tintin,tintin
totò,totò
serpico,serpico
brings,brings
fremdem,foreign
fauna,fauna
poste,post
skunk,skunk
furchterregende,terrifying
bestimmtheit,certainty
aladin,aladdin
vorzulegen,to submit
pumps,pumps
schmerzhaften,painful
koldo,koldo
apfelbaum,apple tree
krabbenburger,crab burger
verschwenderisch,wasteful
plackerei,drudgery
nagetier,rodent
endergebnis,final result
respektabel,respectable
belastungen,loads
baggy,baggy
abgeflogen,departed
längeres,longer
schreienden,screaming
dang,dang
rostige,rusty
kreuzkamm,cross-comb
picknicks,picnics
schieber,slider
sanna,Sanna
wechseljahre,menopause
rausgerannt,ran out
hufgetrappel,hoofbeats
unbeweglich,immobile
siren,siren
afghanischen,Afghan
wainwright,Wainwright
hollister,Hollister
marky,marky
uneingeladen,uninvited
beinchen,little legs
vordrängeln,queue jumping
spottet,mocks
potsdam,Potsdam
ü,ü
geistergeschichten,ghost stories
morgendliche,morning
vadim,Vadim
verschwitzten,sweaty
traudl,Traudl
facharzt,specialist
verkehrs,traffic
keisha,keisha
gaunt,gaunt
tipptopp,tip-top
verkriecht,hides
vögle,birds
benzinkanister,petrol can
anagramm,anagram
üppigen,lush
pasquale,Pasquale
geschehn,happened
ulmer,Ulm
vernichteten,destroyed
handfeuerwaffen,handguns
hubschraubern,helicopters
marly,marly
hodensack,scrotum
symmetrisch,symmetrical
explizit,explicit
abgefuckte,fucked up
dämpfungsfeld,damping field
skyline,skyline
tish,table
schweigeminute,minute of silence
zurückgibst,return
beekman,beekman
ausgewachsenen,fully grown
karthago,Carthage
verschulden,fault
ertrinkst,drown
lanes,lanes
marktes,market
metin,Metin
bricks,bricks
butterfield,butterfield
freiberuflich,freelance
thors,Thor's
praktisches,practical
schwerfällt,is difficult
aufkriegen,get it open
caymans,Cayman Islands
triumphe,triumphs
ausgedehnt,extended
faulkner,faulkner
ruckzuck,in a jiffy
tanzpartner,dance partner
wave,wave
thermoskanne,thermos flask
whyte,whyte
zina,zina
hochzeitsmarsch,wedding march
joschka,Joschka
animalische,animal
silk,silk
kästen,boxes
watergate,Watergate
umrühren,stir
arrondissement,arrondissement
ausflippst,freaks out
fbis,fbis
chemical,chemical
schokoladen,chocolates
rebellisch,rebellious
diensthabende,on duty
durchzumachen,to go through
märkten,markets
verfeindet,hostile
lowenstein,Lowenstein
orléans,Orleans
yagyu,yagyu
prüften,checked
sloans,sloans
ruanda,Rwanda
intro,intro
suliban,suliban
kalibrieren,calibrate
schliesse,close
obelisken,obelisks
buddhisten,Buddhists
angeschwemmt,washed ashore
nervöses,nervous
misstraue,distrust
verspottest,mock
milla,milla
kugelfisch,pufferfish
cybil,cybil
gerückt,moved
gehorchte,obeyed
kens,kens
ergreifst,seize
temperance,temperance
befruchtet,fertilized
schrittmacher,pacemaker
jugendfreund,childhood friend
dienstschluss,End of service
pokale,trophies
lolli,lolli
bodenlose,bottomless
hinzufahren,go there
zugestanden,admitted
jacek,jacek
happening,happening
observierung,observation
putzfrauen,cleaning ladies
gehütet,guarded
gaspar,gaspar
mals,times
autobiografie,autobiography
solarium,solarium
werkzeugen,tools
erfassung,recording
mittelschicht,middle class
warfst,threw
einstufen,classify
umgab,surrounded
fahrscheine,tickets
vermint,mined
torkeln,stagger
bucks,bucks
abgestritten,denied
transceiver,transceiver
lothringen,Lorraine
pow,pow
flynns,Flynn's
doubtfire,doubtfire
torrez,Torrez
angreifst,attack
botanik,botany
vampirismus,vampirism
dekadenz,decadence
abgewartet,waited
erschrak,was startled
geentert,boarded
sümmchen,small sum
väterliche,paternal
leckie,Leckie
reanimation,resuscitation
rauferei,brawl
verweigerung,refusal
familiensache,family matter
roque,roque
forschungszentrum,research center
delancey,delancey
konstitution,constitution
blackwater,blackwater
entzündete,inflamed
henkersmahlzeit,last meal
wegfährt,drives away
tomahawk,tomahawk
waltraud,Waltraud
sticken,embroider
vorstands,board
owari,owari
meinhardis,meinhardis
aufweist,exhibits
droben,up
häuptlings,chieftain
zutage,to light
widerstandsbewegung,resistance movement
verneigt,bows
verneint,denied
quiero,quiero
besprechungsraum,meeting room
purdy,purdy
richelieu,richelieu
peitscht,whips
bullauge,porthole
blumenmädchen,flower girl
geräuschvoll,noisy
schockwelle,shockwave
erickson,Erickson
auflisten,list
goldschatz,gold treasure
schnarche,snoring
persische,Persian
auswärtigen,foreign
weitergegangen,continued
queer,queer
assen,eats
luftfahrt,aviation
jämmerliches,miserable
anbinden,tie
gekritzel,doodle
schrubbe,scrub
knife,knife
schmerzenslaut,cry of pain
störend,disturbing
gegrilltes,grilled
seppuku,seppuku
erfreuliches,pleasing
glaubwürdiger,more credible
spoelman,Spoelman
fernsehens,television
verneige,bow
kooperierst,do you cooperate
wachten,woke
zaubert,conjures
auflockern,loosen up
durchschnitten,average
käufern,buyers
heizkörper,radiator
fortbestehen,continue
durchzusehen,to review
überdecken,cover up
warriner,warriner
täuschungen,deceptions
wiedererkennt,recognizes
alexi,alexi
leibarzt,personal physician
homes,homes
notstrom,emergency power
begründete,justified
geklagt,sued
chainsaw,chainsaw
corrasco,corrasco
backstein,brick
kriegsverletzung,war injury
flecke,stains
skaten,skating
warnten,warned
hauslehrer,private tutor
mixt,mix
weltberühmten,world-famous
knerten,knerten
vorletzten,penultimate
intimes,intimate
präsentierteller,presentation plate
beharrt,insists
feldflasche,canteen
sideshow,sideshow
leibhaftige,real
hauptfeldwebel,sergeant major
plantagen,plantations
breakers,breakers
käfern,beetles
gitte,Gitte
ziegelsteine,bricks
fürcht,fear
schwächeanfall,fainting spell
brauchbaren,usable
kerne,kernels
math,math
dhs,dhs
kitts,kitts
wagten,dared
pignon,pignon
collar,collar
greenwood,greenwood
promille,per mille
tiefgang,depth
enteignet,expropriated
gefälschter,fake
zehe,toe
rer,rer
einmische,mix
psychotherapie,psychotherapy
cumberland,Cumberland
leichteren,lighter
rushmore,Rushmore
walid,walid
unbefleckten,immaculate
creative,creative
tötens,killing
eisenbahner,railway worker
mimen,mime
übermannt,overpowered
beisst,bites
entzückender,delightful
tianci,tianci
bataillons,battalions
überstehst,survive
abzuweisen,to reject
fliegerei,aviation
huck,huck
lebhaften,lively
loved,loved
überlagert,overlaid
reinsehen,Take a look
physisches,physical
standhält,withstands
rollschuhe,roller skates
mordserie,murder series
schmerzliche,painful
spieltest,played
mehdi,Mehdi
gegenüberliegenden,opposite
schuldigung,apology
rangeht,approach
geklammert,clamped
wants,wants
freundschaftlichen,friendly
längengrad,longitude
strampeln,pedaling
gangsterboss,gangster boss
pfennige,pennies
eigennutz,self-interest
friedhelm,Friedhelm
dreifaltigkeit,Trinity
angestrengte,strained
jb,jb
persson,person
ausläuft,expires
multimillionär,multimillionaire
hoi,Hi
lächel,smile
drankommen,get your turn
hinge,hinge
jalta,Yalta
handabdruck,handprint
dichters,poet
eingeprägt,imprinted
abahachi,abahachi
gert,gert
gestrüpp,scrub
charmantes,charming
scharlach,scarlet
funkelnden,sparkling
lebhafter,lively
derry,derry
feuchtes,damp
looping,looping
galba,galba
informativ,informative
zugangskarte,access card
abnimmst,you lose weight
everly,everly
fahrlehrer,driving instructor
insassin,inmate
addiert,add
vorweg,first of all
umlege,to
thessaloniki,Thessaloniki
gesponnen,spun
kompressor,compressor
feelin,feelin
entchen,duckling
zusammennehmen,combine
caddie,Caddie
ersehnte,longed-for
lobbyisten,lobbyists
mohamed,Mohammed
wegnimmst,take away
fertigte,manufactured
aufträgen,orders
grasen,graze
kracklite,kracklite
miep,meep
einzuschließen,to include
zündest,ignite
honor,honor
astronom,astronomer
zweitklassigen,second-class
aufgekommen,emerged
schwindsucht,consumption
schauspielunterricht,acting lessons
samantharichter,Samantharichter
weltraumstation,space station
bancroft,Bancroft
kleiderbügel,clothes hanger
laughing,laughing
leprechaun,leprechaun
goldesel,golden goose
raushole,I'll get
peppy,Peppy
raussuchen,pick
talan,talan
rituals,rituals
schulklingel,school bell
harmonika,harmonica
retsudo,retsudo
mentalist,mentalist
handa,handa
klassifiziert,classified
bewegliche,movable
tauchgang,dive
beba,beba
narzissen,daffodils
geiselnehmer,hostage takers
delegierte,delegated
kitzelig,ticklish
elk,elk
organspender,organ donor
frampton,frampton
lauri,lauri
storniert,canceled
hypochonder,hypochondriac
kammerzofe,chambermaid
süßem,sweet
funksignal,radio signal
brainstorming,brainstorming
erschießung,shooting
europäischer,European
wohlan,well then
börsengang,IPO
macaulay,Macaulay
anti,anti
fächern,fan
gemeinwohl,common good
doktorin,doctor
hineingegangen,went inside
fehlendes,missing
schaurig,creepy
raubst,rob
kaffees,coffees
sachiko,sachiko
kazuo,Kazuo
enrica,enrica
zivilisierter,civilized
aniki,aniki
haze,haze
streisand,Streisand
gliedern,structure
autumn,autumn
wegholen,remove
gelegentliche,occasional
plo,plo
informationsquelle,source of information
fototermin,photo shoot
einreisen,enter
abzurechnen,to be settled
wiedergabe,reproduction
farbton,shade
daly,daily
schallwellen,sound waves
irgendeins,any
staatsmann,statesman
abschätzen,estimate
horns,horns
durcheinandergebracht,confused
boardwalk,boardwalk
führerin,female leader
begrab,bury
frittierte,deep-fried
methylamin,methylamine
alkmene,alkmene
missliche,unfortunate
fritze,Fritze
beschütz,protect
buxton,buxton
unsichere,uncertain
unbewusste,unconscious
stebbi,stebbi
büschel,tuft
strongman,strongman
gehirnaktivität,brain activity
bäche,streams
zusetzen,add
augenblicks,moment
sühnen,atonement
mud,mud
nachvollziehbar,understandable
freigelegt,exposed
glücksrad,wheel of fortune
picknicken,picnic
doofes,stupid
sheffield,Sheffield
gaspard,gaspard
seesack,duffel bag
tanzstunden,dance lessons
schlanken,slim
heuern,hire
din,din
inhaliert,inhaled
narzissmus,narcissism
brentwood,Brentwood
missetaten,misdeeds
clock,clock
vorzeichen,sign
nanotechnologie,nanotechnology
miyabe,miyabe
satire,satire
richtigstellen,correct
süsses,sweet
sho,sho
geplänkel,banter
schulausflug,school trip
rieb,rubbed
kirchner,Kirchner
linderung,relief
kriegsherr,warlord
laude,laude
wundermittel,miracle cure
hierbleibe,stay here
milchpulver,milk powder
barrie,barrie
mutierten,mutated
erwählte,chosen
kerben,notches
organisator,organizer
illustrierte,illustrated
lebenslinie,lifeline
arbeitserlaubnis,work permit
hoelle,hell
haskell,Haskell
beschieden,decided
hotzenplotz,hotzenplotz
ereignen,happen
törichter,foolish
strukturiert,structured
leichenstarre,Rigor mortis
forsythe,forsythe
epileptiker,epileptic
beantwortete,answered
hayworth,hayworth
zugemauert,bricked up
fehlerhaften,faulty
hl,hl
geologie,geology
gerty,Gerty
sadistische,sadistic
subtiler,subtle
cards,cards
verdreschen,beat up
ausreisen,depart
dreyfuss,Dreyfus
beliebtes,popular
müllschlucker,garbage swallower
ignoranten,ignorant
wine,wine
telefonierten,phoned
philibert,Philibert
nachgucken,check
loswirst,get rid of
sicherheitsoffizier,security officer
erdrücken,crush
thurman,Thurman
oktavian,Octavian
hie,here
verkompliziert,complicated
panthers,panthers
stiefbruder,stepbrother
futurama,futurama
belmont,Belmont
krankenbett,hospital bed
unbestreitbar,undeniably
melba,melba
chapel,chapel
macleod,macleod
lagos,Lagos
überhäuft,overflowing
aufbricht,departs
entwirren,unravel
schwerelos,weightless
rahim,Rahim
beschaff,procure
trällert,trills
ene,ene
strömte,flowed
enkelkindern,grandchildren
darko,darko
griesgrämig,grumpy
gestellten,posed
fotokopien,photocopies
shigeki,shigeki
würfe,throws
angehäuft,accumulated
roher,raw
befreist,free
hausverwalter,property manager
genieren,embarrasse
nockerln,dumplings
masterson,masterson
fever,fever
verfilmt,filmed
morland,morland
broome,broome
beiboot,dinghy
nirwana,nirvana
mutmaßungen,speculations
iraker,Iraqis
nuklear,nuclear
chianti,Chianti
kant,Kant
zielscheiben,targets
fotografisches,photographic
gespenstisch,spooky
type,type
boucher,boucher
versicherungsbetrug,insurance fraud
heads,heads
bluetooth,Bluetooth
vorzuspielen,to play
mohan,mohan
outside,outside
gereift,matured
toros,toros
achillesferse,Achilles heel
schnurbart,mustache
authentische,authentic
borge,borrow
rücksichtsloser,ruthless
langfristigen,long-term
qohen,qohen
tapeten,wallpaper
gegebenheiten,circumstances
polizeidienst,police service
zurückbekomme,get back
cagney,Cagney
zerteilt,divided
geishas,geishas
uneingeschränkte,unrestricted
komtess,countess
muslimischen,Muslim
bekleidung,clothing
bevölkern,populate
schwindelgefühl,dizziness
nid,nid
schlaflos,sleepless
freitagnacht,Friday night
valjean,valjean
flexibilität,flexibility
aimee,aimee
uneheliche,illegitimate
zwinker,wink
ankurbeln,boost
tupfen,dab
grogan,grogan
volkszählung,census
rettungssanitäter,paramedic
akustik,acoustics
lateiner,Latin
unwohlsein,malaise
payton,payton
fotogen,photogenic
tins,tins
mailer,mailer
doppler,Doppler
herumfliegen,flying around
aufgespart,saved
ng,ng
scampolo,scampolo
folgendem,the following
bezaubern,enchant
herausragend,outstanding
heiligem,holy
gelistet,listed
mijo,mijo
sombrero,sombrero
aufhebt,cancels
einhaltung,compliance
mech,mech
quetschungen,bruises
stegman,Stegman
zuführen,supply
bärenhunger,ravenous hunger
florin,florin
vorprogrammiert,pre-programmed
glückspilze,lucky people
centipede,centipede
reina,Reina
soir,evening
vereinbare,agree
bezirksgericht,district court
erkenntnissen,findings
sabber,drool
schlafzimmerfenster,bedroom window
volksmusik,folk music
karan,Karan
wohltätigen,charitable
gehenlassen,let go
recyceln,recycle
czaka,czaka
buckligen,hunchbacked
zurückzukriegen,to get it back
fortschicken,send away
schimmert,shimmers
posttraumatische,post-traumatic
dressiert,trained
vii,vii
türgriff,door handle
flaemm,flame
wildfremden,complete strangers
manage,manage
horchen,listen
aufstellt,sets up
tims,Tims
frischluft,fresh air
zugeknallt,slammed shut
schnelleren,faster
vorsorge,preventive care
landgang,shore leave
rothwell,Rothwell
zunähen,sewing it up
yanni,yanni
definite,definite
serienmörders,serial killer
hideki,hideki
ausraubt,robs
kripke,Kripke
anwaltskammer,bar association
einzuschränken,to restrict
rohling,blank
ausgewandert,emigrated
senpai,senpai
antillen,Antilles
abtransportiert,removed
unverkennbar,unmistakable
dun,dun
popstar,pop star
klavierspielen,play the piano
dagur,dagur
ooiiins,ooiiins
kartells,cartels
mig,mig
schlafwandler,sleepwalkers
niederträchtigen,despicable
fiktive,fictional
sedativum,sedative
besingen,to sing about
handyempfang,mobile phone reception
beendigung,termination
rotznasen,runny noses
verdi,verdi
hingeschmissen,threw away
knorpel,cartilage
veröffentlichten,published
statistische,statistical
mitwirkung,participation
gehänge,Hanging
inland,inland
hanoi,Hanoi
drogensüchtigen,drug addicts
malm,malm
cohens,cohens
wasserleitung,water pipe
herrmann,Hermann
schamlippen,labia
nachzügler,straggler
reederei,shipping company
tar,tar
energy,energy
wandelnder,walking
sas,sas
erschütterte,shook
barkley,barkley
königsmund,King's Landing
trostlosen,bleak
maisbrot,cornbread
isla,island
sicherheitsverstoß,security breach
fungiert,functions
firewalls,firewalls
aufhetzen,incite
benning,Benning
kurzfilm,short film
lebensstandard,standard of living
tiki,tiki
nocheinmal,once again
auspusten,blow out
naumann,naumann
pakistani,Pakistani
ruhme,fame
blaubart,Bluebeard
bronchitis,bronchitis
umwerben,woo
äquivalent,equivalent
erderwärmung,global warming
geigerzähler,Geiger counter
terroristischer,terrorist
morast,morass
kumpanen,buddies
gegnerin,opponent
tyrannisiert,tyrannized
sade,sade
vitalität,vitality
hauptes,main
erddrachen,earth dragon
secnav,secnav
ergibst,yields
zins,interest
füür,for
grahams,Graham's
kublai,kublai
kennish,kennish
kopernikus,copernicus
versagens,failure
purpur,purple
aufgebrachte,agitated
angeheitert,tipsy
unbekanntem,unknown
mink,mink
monicas,Monica's
makellose,flawless
sachlage,situation
pressefreiheit,press freedom
stapelt,stacks
vertrauliches,confidential
gärtnern,gardening
hinoto,hinoto
leticia,leticia
bec,bec
minerva,Minerva
hauptschirm,main screen
tanzsaal,dance hall
spioniere,spies
farmhaus,farmhouse
photonen,photons
bedrohlicher,threatening
widersprochen,contradicted
shinsuke,shinsuke
polizistenmörder,police killer
michelles,Michelle
angepackt,tackled
erlasse,enact
muslimische,Muslim
geburtshelfer,obstetrician
krokodilen,crocodiles
gulag,gulag
gillespie,Gillespie
wallenstein,Wallenstein
gottloser,godless
verhütungsmittel,contraceptives
kumbaya,kumbaya
strychnin,strychnine
sturen,stubborn
aprikosen,apricots
verbürgen,guarantee
anzuwerben,to recruit
zuzumachen,to close
drossel,throttle
verlustes,loss
stockwerken,floors
hanzo,hanzo
einvernehmen,agreement
vorraus,ahead
ungeheuren,tremendous
dijon,Dijon
bazillus,bacillus
ungenügend,insufficient
saleh,saleh
rafi,rafi
galerien,galleries
gerrit,Gerrit
beruflicher,professional
zacharias,Zacharias
wannop,wannop
heffley,heffley
darstellern,actors
klavierstunden,piano lessons
unschätzbar,invaluable
mietfrei,rent-free
prem,premium
myspace,myspace
mookie,mookie
mater,mater
sondra,sondra
impfstoffe,vaccines
midge,midge
pork,pork
ablief,expired
verschnaufpause,breather
ocp,ocp
nachhaltigkeit,sustainability
wynn,wynn
